KOMKODE,KOMNAVN,Antal testede,Antal COVID‐19 tilfælde,Befolkning,Kumulativ
101,København,22.969,1.786,623.404,286
147,Frederiksberg,3.791,327,103.960,315
155,Dragør,442,27,14.270,189
185,Tårnby,1.420,79,42.984,184
165,Albertslund,1.120,118,27.877,423
151,Ballerup,2.032,147,48.458,303
153,Brøndby,1.269,120,35.397,339
157,Gentofte,2.639,206,75.176,274
159,Gladsaxe,2.679,204,69.681,293
161,Glostrup,1.032,117,22.615,517
163,Herlev,1.210,92,28.786,320
167,Hvidovre,2.242,229,53.416,429
169,Høje‐Taastrup,1.565,133,50.686,262
183,Ishøj,767,96,22.946,418
173,Lyngby‐Taarbæk,2.022,125,55.790,224
175,Rødovre,1.498,116,40.052,290
187,Vallensbæk,621,82,16.654,492
201,Allerød,809,24,25.646,94
240,Egedal,1.695,177,43.335,408
210,Fredensborg,1.401,52,40.819,127
250,Frederikssund,1.576,79,45.332,174
190,Furesø,1.532,61,41.069,149
270,Gribskov,1.472,64,41.195,155
260,Halsnæs,1.019,34,31.271,109
217,Helsingør,2.527,115,62.567,184
219,Hillerød,2.004,88,50.998,173
223,Hørsholm,883,54,25.007,216
230,Rudersdal,1.963,124,56.509,219
400,Bornholm,1.429,64,39.572,162
411,Christiansø,3,<10tilfælde,90,<10tilfælde
253,Greve,1.157,80,50.267,159
259,Køge,1.466,109,60.675,180
350,Lejre,700,41,27.775,148
265,Roskilde,2.200,139,87.577,159
269,Solrød,527,40,23.065,173
320,Faxe,933,48,36.513,131
376,Guldborgsund,1.680,64,60.930,105
316,Holbæk,2.055,127,71.297,178
326,Kalundborg,1.095,57,48.681,117
360,Lolland,1.156,72,41.615,173
370,Næstved,3.820,121,82.991,146
306,Odsherred,830,43,33.122,130
329,Ringsted,801,32,34.725,92
330,Slagelse,2.701,282,79.073,357
340,Sorø,823,51,29.834,171
336,Stevns,509,23,22.782,101
390,Vordingborg,1.239,40,45.816,87
420,Assens,1.133,19,41.212,46
430,Faaborg‐Midtfyn,1.432,30,51.809,58
440,Kerteminde,691,13,23.773,55
482,Langeland,366,<10tilfælde,12.560,<10tilfælde
410,Middelfart,1.213,41,38.553,106
480,Nordfyns,882,14,29.693,47
450,Nyborg,940,33,32.042,103
461,Odense,6.927,162,204.182,79
479,Svendborg,2.119,81,58.599,138
492,Ærø,162,<10tilfælde,6.058,<10tilfælde
530,Billund,575,20,26.629,75
561,Esbjerg,3.304,115,115.652,99
563,Fanø,69,<10tilfælde,3.404,<10tilfælde
607,Fredericia,1.464,38,51.427,74
510,Haderslev,1.157,<10tilfælde,55.857,<10tilfælde
621,Kolding,2.789,102,92.893,110
540,Sønderborg,1.722,15,74.561,20
550,Tønder,707,12,37.587,32
573,Varde,1.162,18,50.129,36
575,Vejen,991,22,42.863,51
630,Vejle,3.075,72,114.830,63
580,Aabenraa,1.643,41,59.035,69
710,Favrskov,1.110,24,48.374,50
766,Hedensted,1.024,13,46.747,28
615,Horsens,2.193,37,90.370,41
707,Norddjurs,759,<10tilfælde,37.680,<10tilfælde
727,Odder,535,<10tilfælde,22.675,<10tilfælde
730,Randers,2.227,27,97.909,28
741,Samsø,66,<10tilfælde,3.684,<10tilfælde
740,Silkeborg,2.594,114,93.054,123
746,Skanderborg,1.646,50,61.974,81
706,Syddjurs,1.004,13,42.768,30
751,Aarhus,9.911,325,345.332,94
657,Herning,2.583,244,88.917,274
661,Holstebro,2.310,241,58.504,412
756,Ikast‐Brande,1.011,49,41.282,119
665,Lemvig,414,23,19.998,115
760,Ringkøbing‐Skjern,1.171,69,56.930,121
779,Skive,1.058,46,46.224,100
671,Struer,558,30,21.143,142
791,Viborg,2.764,87,97.113,90
810,Brønderslev,1.422,40,36.370,110
813,Frederikshavn,1.380,14,59.987,23
860,Hjørring,2.038,23,64.665,36
849,Jammerbugt,1.168,22,38.460,57
825,Læsø,39,<10tilfælde,1.806,<10tilfælde
846,Mariagerfjord,1.268,31,42.055,74
773,Morsø,661,17,20.403,83
840,Rebild,932,13,29.916,43
787,Thisted,1.207,32,43.660,73
820,Vesthimmerlands,1.164,46,37.121,124
851,Aalborg,7.419,142,215.312,66
