KOMKODE,KOMNAVN,Antal testede,Antal COVID‐19 tilfælde,Befolkning,Kumulativ
101,København,31284,1929,623.404,309
147,Frederiksberg,5041,352,103.960,339
155,Dragør,614,28,14.270,196
185,Tårnby,2007,87,42.984,202
165,Albertslund,1502,130,27.877,466
151,Ballerup,2723,158,48.458,326
153,Brøndby,1705,136,35.397,384
157,Gentofte,3310,215,75.176,286
159,Gladsaxe,3434,233,69.681,334
161,Glostrup,1353,129,22.615,570
163,Herlev,1574,104,28.786,361
167,Hvidovre,3241,253,53.416,474
169,Høje‐Taastrup,2101,140,50.686,276
183,Ishøj,1059,109,22.946,475
173,Lyngby‐Taarbæk,2544,135,55.790,242
175,Rødovre,1957,124,40.052,310
187,Vallensbæk,843,89,16.654,534
201,Allerød,1018,26,25.646,101
240,Egedal,2210,188,43.335,434
210,Fredensborg,1808,59,40.819,145
250,Frederikssund,2113,85,45.332,188
190,Furesø,1908,66,41.069,161
270,Gribskov,1823,66,41.195,160
260,Halsnæs,1318,34,31.271,109
217,Helsingør,3171,131,62.567,209
219,Hillerød,2751,92,50.998,180
223,Hørsholm,1099,57,25.007,228
230,Rudersdal,2409,132,56.509,234
400,Bornholm,1861,69,39.572,174
411,Christiansø,3,<10tilfælde,90,<10tilfælde
253,Greve,1640,85,50.267,169
259,Køge,2088,110,60.675,181
350,Lejre,1004,43,27.775,155
265,Roskilde,3437,150,87.577,171
269,Solrød,768,44,23.065,191
320,Faxe,1278,51,36.513,140
376,Guldborgsund,2426,66,60.930,108
316,Holbæk,2879,133,71.297,187
326,Kalundborg,1558,64,48.681,131
360,Lolland,1514,80,41.615,192
370,Næstved,5206,137,82.991,165
306,Odsherred,1178,45,33.122,136
329,Ringsted,1116,37,34.725,107
330,Slagelse,3874,306,79.073,387
340,Sorø,1145,54,29.834,181
336,Stevns,690,23,22.782,101
390,Vordingborg,1720,48,45.816,105
420,Assens,1523,19,41.212,46
430,Faaborg‐Midtfyn,1952,30,51.809,58
440,Kerteminde,903,13,23.773,55
482,Langeland,471,<10tilfælde,12.560,<10tilfælde
410,Middelfart,1479,41,38.553,106
480,Nordfyns,1135,14,29.693,47
450,Nyborg,1280,35,32.042,109
461,Odense,9359,173,204.182,85
479,Svendborg,2743,81,58.599,138
492,Ærø,216,<10tilfælde,6.058,<10tilfælde
530,Billund,799,21,26.629,79
561,Esbjerg,4735,117,115.652,101
563,Fanø,95,<10tilfælde,3.404,<10tilfælde
607,Fredericia,1868,38,51.427,74
510,Haderslev,1563,<10tilfælde,55.857,<10tilfælde
621,Kolding,3603,104,92.893,112
540,Sønderborg,2332,16,74.561,21
550,Tønder,964,12,37.587,32
573,Varde,1593,18,50.129,36
575,Vejen,1275,22,42.863,51
630,Vejle,3812,73,114.830,64
580,Aabenraa,2198,45,59.035,76
710,Favrskov,1506,26,48.374,54
766,Hedensted,1360,14,46.747,30
615,Horsens,2911,38,90.370,42
707,Norddjurs,1031,<10tilfælde,37.680,<10tilfælde
727,Odder,718,<10tilfælde,22.675,<10tilfælde
730,Randers,2977,28,97.909,29
741,Samsø,90,<10tilfælde,3.684,<10tilfælde
740,Silkeborg,3663,116,93.054,125
746,Skanderborg,2220,53,61.974,86
706,Syddjurs,1330,13,42.768,30
751,Aarhus,13154,353,345.332,102
657,Herning,4084,255,88.917,287
661,Holstebro,2996,256,58.504,438
756,Ikast‐Brande,1492,54,41.282,131
665,Lemvig,564,24,19.998,120
760,Ringkøbing‐Skjern,1791,77,56.930,135
779,Skive,1587,50,46.224,108
671,Struer,821,32,21.143,151
791,Viborg,4466,91,97.113,94
810,Brønderslev,1920,45,36.370,124
813,Frederikshavn,1853,15,59.987,25
860,Hjørring,3045,23,64.665,36
849,Jammerbugt,1566,26,38.460,68
825,Læsø,53,<10tilfælde,1.806,<10tilfælde
846,Mariagerfjord,1722,32,42.055,76
773,Morsø,881,17,20.403,83
840,Rebild,1226,13,29.916,43
787,Thisted,1895,32,43.660,73
820,Vesthimmerlands,1519,50,37.121,135
851,Aalborg,10328,150,215.312,70
