KOMKODE,KOMNAVN,Antal testede,Antal COVID‐19 tilfælde,Befolkning,Kumulativ
101,København,15367,1569,623.404,252
147,Frederiksberg,2648,299,103.960,288
155,Dragør,297,23,14.270,161
185,Tårnby,951,69,42.984,161
165,Albertslund,787,96,27.877,344
151,Ballerup,1350,133,48.458,274
153,Brøndby,888,109,35.397,308
157,Gentofte,1802,188,75.176,250
159,Gladsaxe,1735,178,69.681,255
161,Glostrup,694,101,22.615,447
163,Herlev,750,82,28.786,285
167,Hvidovre,1484,193,53.416,361
169,Høje‐Taastrup,1095,113,50.686,223
183,Ishøj,556,67,22.946,292
173,Lyngby‐Taarbæk,1341,109,55.790,195
175,Rødovre,1003,105,40.052,262
187,Vallensbæk,449,73,16.654,438
201,Allerød,524,21,25.646,82
240,Egedal,1060,132,43.335,305
210,Fredensborg,850,36,40.819,88
250,Frederikssund,1004,65,45.332,143
190,Furesø,912,57,41.069,139
270,Gribskov,973,55,41.195,134
260,Halsnæs,658,30,31.271,96
217,Helsingør,1468,96,62.567,153
219,Hillerød,1149,77,50.998,151
223,Hørsholm,575,52,25.007,208
230,Rudersdal,1270,102,56.509,181
400,Bornholm,981,57,39.572,144
411,Christiansø,3,<10tilfælde,90,<10tilfælde
253,Greve,752,69,50.267,137
259,Køge,907,97,60.675,160
350,Lejre,447,37,27.775,133
265,Roskilde,1381,118,87.577,135
269,Solrød,357,35,23.065,152
320,Faxe,548,39,36.513,107
376,Guldborgsund,987,54,60.930,89
316,Holbæk,1202,95,71.297,133
326,Kalundborg,662,48,48.681,99
360,Lolland,722,54,41.615,130
370,Næstved,1342,106,82.991,128
306,Odsherred,480,30,33.122,91
329,Ringsted,487,30,34.725,86
330,Slagelse,1681,249,79.073,315
340,Sorø,485,49,29.834,164
336,Stevns,307,19,22.782,83
390,Vordingborg,642,29,45.816,63
420,Assens,640,19,41.212,46
430,Faaborg‐Midtfyn,738,29,51.809,56
440,Kerteminde,395,12,23.773,50
482,Langeland,200,<10tilfælde,12.560,<10tilfælde
410,Middelfart,749,39,38.553,101
480,Nordfyns,485,14,29.693,47
450,Nyborg,518,32,32.042,100
461,Odense,3686,153,204.182,75
479,Svendborg,1231,77,58.599,131
492,Ærø,76,<10tilfælde,6.058,<10tilfælde
530,Billund,344,18,26.629,68
561,Esbjerg,1923,110,115.652,95
563,Fanø,36,<10tilfælde,3.404,<10tilfælde
607,Fredericia,957,37,51.427,72
510,Haderslev,624,<10tilfælde,55.857,<10tilfælde
621,Kolding,1751,100,92.893,108
540,Sønderborg,889,12,74.561,16
550,Tønder,389,12,37.587,32
573,Varde,700,15,50.129,30
575,Vejen,586,22,42.863,51
630,Vejle,1983,71,114.830,62
580,Aabenraa,897,38,59.035,64
710,Favrskov,649,24,48.374,50
766,Hedensted,596,13,46.747,28
615,Horsens,1350,34,90.370,38
707,Norddjurs,497,<10tilfælde,37.680,<10tilfælde
727,Odder,323,<10tilfælde,22.675,<10tilfælde
730,Randers,1230,23,97.909,23
741,Samsø,48,<10tilfælde,3.684,<10tilfælde
740,Silkeborg,1503,98,93.054,105
746,Skanderborg,1033,47,61.974,76
706,Syddjurs,631,13,42.768,30
751,Aarhus,6129,304,345.332,88
657,Herning,1628,216,88.917,243
661,Holstebro,1502,207,58.504,354
756,Ikast‐Brande,542,36,41.282,87
665,Lemvig,246,19,19.998,95
760,Ringkøbing‐Skjern,728,58,56.930,102
779,Skive,571,35,46.224,76
671,Struer,334,28,21.143,132
791,Viborg,1376,75,97.113,77
810,Brønderslev,658,34,36.370,93
813,Frederikshavn,708,14,59.987,23
860,Hjørring,1008,23,64.665,36
849,Jammerbugt,610,19,38.460,49
825,Læsø,13,<10tilfælde,1.806,<10tilfælde
846,Mariagerfjord,649,28,42.055,67
773,Morsø,342,15,20.403,74
840,Rebild,479,11,29.916,37
787,Thisted,667,31,43.660,71
820,Vesthimmerlands,684,43,37.121,116
851,Aalborg,3493,135,215.312,63
