KOMKODE,KOMNAVN,Antal testede,Antal COVID‐19 tilfælde,Befolkning,Kumulativ
101,København,17.295,1620,623.404,260
147,Frederiksberg,2.929,0,303,103.960,291
155,Dragør,330,26,14.270,182
185,Tårnby,1.055,72,42.984,168
165,Albertslund,860,0,102,27.877,366
151,Ballerup,1.464,0,137,48.458,283
153,Brøndby,976,0,115,35.397,325
157,Gentofte,1.976,0,190,75.176,253
159,Gladsaxe,1.948,186,69.681,267
161,Glostrup,780,0,107,22.615,473
163,Herlev,815,84,28.786,292
167,Hvidovre,1.653,0,204,53.416,382
169,Høje‐Taastrup,1.218,118,50.686,233
183,Ishøj,603,78,22.946,340
173,Lyngby‐Taarbæk,1.476,111,55.790,199
175,Rødovre,1.089,0,109,40.052,272
187,Vallensbæk,502,0,76,16.654,456
201,Allerød,582,0,21,25.646,82
240,Egedal,1.187,145,43.335,335
210,Fredensborg,945,0,38,40.819,93
250,Frederikssund,1.143,0,68,45.332,150
190,Furesø,1.013,58,41.069,141
270,Gribskov,1.075,0,55,41.195,134
260,Halsnæs,728,31,31.271,99
217,Helsingør,1.668,97,62.567,155
219,Hillerød,1.323,0,80,50.998,157
223,Hørsholm,643,52,25.007,208
230,Rudersdal,1.385,0,105,56.509,186
400,Bornholm,1.086,58,39.572,147
411,Christiansø3,0,<10tilfælde,90,<10tilfælde
253,Greve,823,71,50.267,141
259,Køge,1.011,102,60.675,168
350,Lejre,515,37,27.775,133
265,Roskilde,1.524,0,123,87.577,140
269,Solrød,392,35,23.065,152
320,Faxe,617,43,36.513,118
376,Guldborgsund,1.188,0,57,60.930,94
316,Holbæk,1.452,107,71.297,150
326,Kalundborg,788,53,48.681,109
360,Lolland,865,59,41.615,142
370,Næstved,1.618,111,82.991,134
306,Odsherred,587,0,34,33.122,103
329,Ringsted,574,30,34.725,86
330,Slagelse,1.934,258,79.073,326
340,Sorø,582,49,29.834,164
336,Stevns,343,20,22.782,88
390,Vordingborg,786,34,45.816,74
420,Assens,745,19,41.212,46
430,Faaborg‐Midtfyn,898,0,29,51.809,56
440,Kerteminde,451,0,12,23.773,50
482,Langeland,231,<10tilfælde,12.560,<10tilfælde
410,Middelfart,886,0,41,38.553,106
480,Nordfyns,586,0,14,29.693,47
450,Nyborg,599,32,32.042,100
461,Odense,4.358,154,204.182,75
479,Svendborg,1.383,77,58.599,131
492,Ærø,90,<10tilfælde,6.058,<10tilfælde
530,Billund,403,0,18,26.629,68
561,Esbjerg,2.282,110,115.652,95
563,Fanø,46,<10tilfælde,3.404,<10tilfælde
607,Fredericia,1.130,38,51.427,74
510,Haderslev,784,<10tilfælde,55.857,<10tilfælde
621,Kolding,2.114,102,92.893,110
540,Sønderborg,1.117,14,74.561,19
550,Tønder,478,12,37.587,32
573,Varde,803,17,50.129,34
575,Vejen,705,22,42.863,51
630,Vejle,2.352,71,114.830,62
580,Aabenraa,1.105,39,59.035,66
710,Favrskov,745,24,48.374,50
766,Hedensted,714,13,46.747,28
615,Horsens,1.548,35,90.370,39
707,Norddjurs,561,<10tilfælde,37.680,<10tilfælde
727,Odder,374,<10tilfælde,22.675,<10tilfælde
730,Randers,1.451,23,97.909,23
741,Samsø,51,<10tilfælde,3.684,<10tilfælde
740,Silkeborg,1.831,102,93.054,110
746,Skanderborg,1.186,48,61.974,77
706,Syddjurs,720,13,42.768,30
751,Aarhus,7.034,305,345.332,88
657,Herning,1.833,229,88.917,258
661,Holstebro,1.669,217,58.504,371
756,Ikast‐Brande,628,39,41.282,94
665,Lemvig,273,20,19.998,100
760,Ringkøbing‐Skjern,838,60,56.930,105
779,Skive,691,41,46.224,89
671,Struer,394,29,21.143,137
791,Viborg,1.685,81,97.113,83
810,Brønderslev,816,36,36.370,99
813,Frederikshavn,902,14,59.987,23
860,Hjørring,1.250,23,64.665,36
849,Jammerbugt,758,21,38.460,55
825,Læsø,24,<10tilfælde,1.806,<10tilfælde
846,Mariagerfjord,835,30,42.055,71
773,Morsø,468,16,20.403,78
840,Rebild,599,13,29.916,43
787,Thisted,833,32,43.660,73
820,Vesthimmerlands,825,43,37.121,116
851,Aalborg,4.437,137,215.312,64
