KOMKODE,KOMNAVN,Antal testede,Antal COVID‐19 tilfælde,Befolkning,Kumulativ
101,København,21.220,0,1.742,623.404,279
147,Frederiksberg3,.530,321,103.960,309
155,Dragør,400,27,14.270,189
185,Tårnby,1,.312,76,42.984,177
165,Albertslund,1,.047,115,27.877,413
151,Ballerup,1,.887,145,48.458,299
153,Brøndby,1,.180,119,35.397,336
157,Gentofte,2,.484,205,75.176,273
159,Gladsaxe,2,.496,201,69.681,288
161,Glostrup,965,111,22.615,491
163,Herlev,1,.133,89,28.786,309
167,Hvidovre,2,.107,224,53.416,419
169,Høje‐Taastrup,1,.460,129,50.686,255
183,Ishøj,710,89,22.946,388
173,Lyngby‐Taarbæk,1,.908,124,55.790,222
175,Rødovre,1,.406,116,40.052,290
187,Vallensbæk,588,80,16.654,480
201,Allerød,758,25,25.646,97
240,Egedal,1,.600,176,43.335,406
210,Fredensborg1,.293,50,40.819,122
250,Frederikssund1,.478,79,45.332,174
190,Furesø,1,.442,61,41.069,149
270,Gribskov,1,.389,62,41.195,151
260,Halsnæs,941,33,31.271,106
217,Helsingør,2,.340,108,62.567,173
219,Hillerød,1,.807,88,50.998,173
223,Hørsholm,837,54,25.007,216
230,Rudersdal,1,.835,122,56.509,216
400,Bornholm,1,.314,61,39.572,154
411,Christiansø,3,<10tilfælde,90,<10tilfælde
253,Greve,1,.081,78,50.267,155
259,Køge,1,.371,108,60.675,178
350,Lejre,661,0,41,27.775,148
265,Roskilde,2,.017,135,87.577,154
269,Solrød,489,40,23.065,173
320,Faxe,853,47,36.513,129
376,Guldborgsund1,.600,64,60.930,105
316,Holbæk,1,.957,126,71.297,177
326,Kalundborg,1,.032,57,48.681,117
360,Lolland,1,.099,70,41.615,168
370,Næstved,3,.138,119,82.991,143
306,Odsherred,789,0,41,33.122,124
329,Ringsted,747,31,34.725,89
330,Slagelse,2,.504,278,79.073,352
340,Sorø,776,50,29.834,168
336,Stevns,465,22,22.782,97
390,Vordingborg,1,.150,38,45.816,83
420,Assens,1,.056,19,41.212,46
430,Faaborg‐Midtfyn,1,.318,30,51.809,58
440,Kerteminde,638,13,23.773,55
482,Langeland,342,<10tilfælde,12.560,<10tilfælde
410,Middelfart,1.147,41,38.553,106
480,Nordfyns,816,14,29.693,47
450,Nyborg,879,33,32.042,103
461,Odense,6.355,162,204.182,79
479,Svendborg,1.973,80,58.599,137
492,Ærø,134,<10tilfælde,6.058,<10tilfælde
530,Billund,548,20,26.629,75
561,Esbjerg,3.128,114,115.652,99
563,Fanø,66,<10tilfælde,3.404,<10tilfælde
607,Fredericia,1.412,38,51.427,74
510,Haderslev,1.101,<10tilfælde,55.857,<10tilfælde
621,Kolding,2.699,102,92.893,110
540,Sønderborg,1.554,15,74.561,20
550,Tønder,682,12,37.587,32
573,Varde,1.105,18,50.129,36
575,Vejen,947,22,42.863,51
630,Vejle,2.943,72,114.830,63
580,Aabenraa,1.580,41,59.035,69
710,Favrskov,1.015,24,48.374,50
766,Hedensted,945,13,46.747,28
615,Horsens,2.031,37,90.370,41
707,Norddjurs,710,<10tilfælde,37.680,<10tilfælde
727,Odder,494,<10tilfælde,22.675,<10tilfælde
730,Randers,2.039,27,97.909,28
741,Samsø,56,<10tilfælde,3.684,<10tilfælde
740,Silkeborg,2.380,114,93.054,123
746,Skanderborg,1.514,50,61.974,81
706,Syddjurs,929,13,42.768,30
751,Aarhus,9.178,321,345.332,93
657,Herning,2.380,241,88.917,271
661,Holstebro,2.130,236,58.504,403
756,Ikast‐Brande,915,47,41.282,114
665,Lemvig,376,22,19.998,110
760,Ringkøbing‐Skjern,1.084,67,56.930,118
779,Skive,958,44,46.224,95
671,Struer,501,29,21.143,137
791,Viborg,2.491,87,97.113,90
810,Brønderslev,1.328,40,36.370,110
813,Frederikshavn,1.301,14,59.987,23
860,Hjørring,1.876,23,64.665,36
849,Jammerbugt,1.079,22,38.460,57
825,Læsø,38,<10tilfælde,1.806,<10tilfælde
846,Mariagerfjord,1.158,31,42.055,74
773,Morsø,602,17,20.403,83
840,Rebild,871,13,29.916,43
787,Thisted,1.102,32,43.660,73
820,Vesthimmerlands,1.060,45,37.121,121
851,Aalborg,6.729,141,215.312,65
