KOMKODE,KOMNAVN,Antal testede,Antal COVID‐19 tilfælde,Befolkning,Kumulativ
101,København,26.334,1.867,623.404,299
147,Frederiksberg,4.299,338,103.960,325
155,Dragør,509,28,14.270,196
185,Tårnby,1.683,84,42.984,195
165,Albertslund,1.282,125,27.877,448
151,Ballerup,2.305,151,48.458,312
153,Brøndby,1.445,130,35.397,367
157,Gentofte,2.930,210,75.176,279
159,Gladsaxe,3.011,219,69.681,314
161,Glostrup,1.194,121,22.615,535
163,Herlev,1.332,95,28.786,330
167,Hvidovre,2.668,239,53.416,447
169,Høje‐Taastrup,1.807,138,50.686,272
183,Ishøj,902,101,22.946,440
173,Lyngby‐Taarbæk,2.252,129,55.790,231
175,Rødovre,1.696,120,40.052,300
187,Vallensbæk,727,84,16.654,504
201,Allerød,892,26,25.646,101
240,Egedal,1.902,182,43.335,420
210,Fredensborg,1.569,55,40.819,135
250,Frederikssund,1.811,81,45.332,179
190,Furesø,1.685,61,41.069,149
270,Gribskov,1.616,64,41.195,155
260,Halsnæs,1.142,34,31.271,109
217,Helsingør,2.842,120,62.567,192
219,Hillerød,2.278,91,50.998,178
223,Hørsholm,971,55,25.007,220
230,Rudersdal,2.163,128,56.509,227
400,Bornholm,1.618,66,39.572,167
411,Christiansø,3,<10tilfælde,90,<10tilfælde
253,Greve,1.326,82,50.267,163
259,Køge,1.737,110,60.675,181
350,Lejre,797,42,27.775,151
265,Roskilde,2.669,143,87.577,163
269,Solrød,619,43,23.065,186
320,Faxe,1.085,49,36.513,134
376,Guldborgsund,1.880,66,60.930,108
316,Holbæk,2.338,131,71.297,184
326,Kalundborg,1.305,58,48.681,119
360,Lolland,1.278,78,41.615,187
370,Næstved,4.579,130,82.991,157
306,Odsherred,947,43,33.122,130
329,Ringsted,936,35,34.725,101
330,Slagelse,3.243,296,79.073,374
340,Sorø,974,52,29.834,174
336,Stevns,586,23,22.782,101
390,Vordingborg,1.429,44,45.816,96
420,Assens,1.320,19,41.212,46
430,Faaborg‐Midtfyn,1.680,0,31,51.809,60
440,Kerteminde,808,0,13,23.773,55
482,Langeland,414,0,<10tilfælde,12.560,<10tilfælde
410,Middelfart,1.339,0,41,38.553,106
480,Nordfyns,1.006,0,14,29.693,47
450,Nyborg,1.089,0,34,32.042,106
461,Odense,8.086,0,162,204.182,79
479,Svendborg,2.374,0,82,58.599,140
492,Ærø,174,0,<10tilfælde,6.058,<10tilfælde
530,Billund,663,0,21,26.629,79
561,Esbjerg,3.866,0,116,115.652,100
563,Fanø,79,0,<10tilfælde,3.404,<10tilfælde
607,Fredericia,1.649,0,38,51.427,74
510,Haderslev,1.320,0,<10tilfælde,55.857,<10tilfælde
621,Kolding,3.114,0,102,92.893,110
540,Sønderborg,1.960,0,15,74.561,20
550,Tønder,800,0,13,37.587,35
573,Varde,1.321,0,18,50.129,36
575,Vejen,1.121,0,22,42.863,51
630,Vejle,3.408,0,72,114.830,63
580,Aabenraa,1.863,0,46,59.035,78
710,Favrskov,1.254,0,24,48.374,50
766,Hedensted,1.136,0,13,46.747,28
615,Horsens,2.431,0,37,90.370,41
707,Norddjurs,873,0,<10tilfælde,37.680,<10tilfælde
727,Odder,597,0,<10tilfælde,22.675,<10tilfælde
730,Randers,2.562,0,28,97.909,29
741,Samsø,75,0,<10tilfælde,3.684,<10tilfælde
740,Silkeborg,2.958,0,114,93.054,123
746,Skanderborg,1.853,0,52,61.974,84
706,Syddjurs,1.128,0,13,42.768,30
751,Aarhus,10.951,0,330,345.332,96
657,Herning,3.166,0,248,88.917,279
661,Holstebro,2.570,0,249,58.504,426
756,Ikast‐Brande,1.173,0,51,41.282,124
665,Lemvig,464,0,23,19.998,115
760,Ringkøbing‐Skjern,1.394,0,72,56.930,126
779,Skive,1.260,0,47,46.224,102
671,Struer,640,0,31,21.143,147
791,Viborg,3.413,0,88,97.113,91
810,Brønderslev,1.608,0,40,36.370,110
813,Frederikshavn,1.559,0,15,59.987,25
860,Hjørring,2.436,0,23,64.665,36
849,Jammerbugt,1.362,0,24,38.460,62
825,Læsø,42,0,<10tilfælde,1.806,<10tilfælde
846,Mariagerfjord,1.467,0,31,42.055,74
773,Morsø,780,0,17,20.403,83
840,Rebild,1.055,0,13,29.916,43
787,Thisted,1.566,0,32,43.660,73
820,Vesthimmerlands,1.327,0,47,37.121,127
851,Aalborg,8.790,0,143,215.312,66
